author,books_num,mean_rating,mean_review_count
Б. В. Прокофьев,1,4.9,2.0
Б. Д. Микеладзе,1,0.0,0.0
Б. Д. Шашков,1,0.0,0.0
Б. Н. Поляков,1,0.0,0.0
Бассенс Аглаэ,1,5.0,2.0
Бен Клеменс,1,3.9,3.0
Бен Фрэйн,1,4.8,2.0
Бенджамин Дж. Эванс,1,0.0,0.0
Билл Беджек,1,5.0,0.0
Билл Любанович,2,3.65,6.5
Билл Филлипс,1,4.7,4.0
Борис Вольфсон,1,3.2,6.0
Борис Дмитриевич Яровой,1,5.0,2.0
Борис Пасхавер,1,4.2,2.0
Борис Черный,1,4.9,4.0
Брайан Макмахан,1,4.5,2.0
Брайан Уорд,1,3.9,5.0
Брайсон Пэйн,1,4.3,14.0
Бретт Мак-Лахлин,1,4.3,1.0
Брэдфорд Такфилд,1,5.0,3.0
Брюс А. Тейт,1,4.0,3.0
Брюс Смит,1,0.0,1.0
Брюс Шнайер,2,4.25,5.5
Бьерн Страуструп,1,4.4,5.0
В. А. Алексеев,1,5.0,0.0
В. А. Бобков,1,0.0,0.0
В. А. Немтинов,1,0.0,0.0
В. А. Русаков,1,0.0,0.0
В. А. Сартаков,1,0.0,0.0
В. А. Чеканин,2,4.5,0.0
В. А. Шакиров,1,0.0,0.0
В. А. Шихин,1,0.0,0.0
В. Б. Иванов,1,1.4,2.0
В. Б. Лабутин,1,5.0,0.0
В. Б. Шувалов,1,3.0,0.0
В. В. Андреев,2,0.0,0.0
В. В. Артюхин,2,0.0,0.0
В. В. Аюев,1,0.0,0.0
В. В. Бабенко,1,5.0,1.0
В. В. Байнев,4,0.5,0.0
В. В. Гимаров,1,0.0,0.0
В. В. Девятков,3,0.0,0.0
В. В. Дик,1,0.0,0.0
В. В. Китюков,1,0.0,0.0
В. В. Мялицын,1,0.0,0.0
В. В. Рыбалка,2,4.5,3.0
В. В. Стрижов,1,0.0,0.0
В. В. Тарапата,1,4.9,2.0
В. Г. Куликов,1,5.0,2.0
В. Г. Мокрозуб,1,0.0,0.0
В. Г. Прокошев,2,0.0,0.0
В. Д. Алёшин,1,0.0,0.0
В. Д. Боев,2,0.5,0.0
В. Е. Кайман,1,0.0,0.0
В. Е. Лихтенштейн,1,0.0,0.0
В. И. Батищев,1,0.0,0.0
В. И. Карпов,1,0.0,0.0
В. И. Струченков,1,0.0,0.0
В. И. Фомин,1,0.0,0.0
В. К. Алиев,1,5.0,0.0
В. Курносов,1,5.0,0.0
В. Л. Аббакумов,1,5.0,0.0
В. Л. Хазан,1,0.0,0.0
В. М. Руденко,1,0.0,0.0
В. Н. Бугорский,3,0.0,0.0
В. Н. Волкова,2,0.0,0.0
В. П. Заярный,1,0.0,0.0
В. П. Ковалевский,1,0.0,0.0
В. П. Мешалкин,2,2.5,0.0
В. С. Евстратов,1,5.0,2.0
В. С. Лаврентьев,1,0.0,0.0
В. С. Орлов,1,0.0,0.0
В. Ф. Корнюшко,1,0.0,0.0
В. Я. Вилисов,2,0.0,0.0
Вадим Валериевич Подбельский,1,3.8,3.0
Вадим Глаголев,1,3.5,4.0
Вадим Никитин,1,5.0,4.0
Вадим Охапкин,1,4.5,25.0
Валерий Алексеевич Жарков,10,0.5,0.0
Валерий Романчик,1,4.3,1.0
Валиаппа Лакшманан,1,5.0,3.0
Василий Сабиров,1,4.7,6.0
Василий Усов,1,3.1,17.0
Вера Манфазовна Баева,1,1.7,5.0
Виктор Владимирович Захаров,1,4.7,3.0
Виктор Гольцман,1,4.5,3.0
Виктор Горелик,1,4.7,0.0
Виктор Николаевич Шитов,1,4.4,0.0
Виктор Рабинович,1,4.1,2.0
Вильям Спрингер,1,4.3,2.0
Виталий Александрович Гульчеев,5,4.2,2.4
Виталий Евгеньевич Ткаченко,1,5.0,1.0
Влад Хононов,1,0.0,1.0
Владимир Васильевич Стретенцев,1,5.0,1.0
Владимир Волков,1,4.0,1.0
Владимир Дронов,12,4.166666666666667,2.4166666666666665
Владимир Хориков,1,4.7,5.0
Владимир Швец,1,4.6,5.0
Владислав Юров,2,2.2,0.0
Владстон Феррейра Фило,1,3.9,28.0
Вячеслав Сейид,1,4.5,0.0
Вячеслав Уточкин,2,4.55,4.0
Г. А. Расолько,1,4.0,0.0
Г. А. Тяпичев,1,2.5,1.0
Г. А. Чуднова,1,4.8,3.0
Г. В. Лапинская,1,1.0,1.0
Г. В. Росс,2,0.0,0.0
Г. В. Саблина,1,0.0,0.0
Г. Г. Рапаков,1,4.6,4.0
Г. И. Кайгородцев,1,0.0,0.0
Г. И. Ревунков,1,4.0,0.0
Г. М. Левин,1,0.0,0.0
Г. С. Тибилова,1,0.0,0.0
Гадель Загрутдинов,1,4.2,3.0
Галина Михальченко,1,0.0,0.0
Гарри Персиваль,1,4.0,2.0
Гойко Аджич,2,4.0,5.5
Грант Бейлевельд,1,5.0,2.0
Грант С. Ингерсолл,1,4.7,2.0
Григорий Макеев,1,0.0,0.0
Григорий Радовильский,2,4.300000000000001,0.0
Гэбриел Гамбетта,1,5.0,1.0
Гэвин Кинг,1,4.7,0.0
Гэйл Лакман Макдауэлл,1,4.6,3.0
Д. А. Борисоглебский,2,0.0,0.0
Д. А. Зорин,1,0.0,0.0
Д. А. Карпов,1,0.0,0.0
Д. А. Лисин,1,0.0,0.0
Д. А. Разумов,1,0.0,0.0
Д. А. Рощин,1,0.0,0.0
Д. А. Семёнов,1,0.0,0.0
Д. А. Храмов,1,3.5,5.0
Д. В. Бородин,1,1.5,2.0
Д. В. Дружинин,1,0.0,0.0
Д. В. Кондратов,1,0.0,0.0
Д. В. Лисицин,1,5.0,0.0
Д. В. Мякишев,1,0.0,0.0
Д. В. Ошкало,1,0.0,0.0
Д. В. Сидоров,1,0.0,0.0
Д. В. Янкин,1,0.0,0.0
Д. Г. Копосов,3,4.933333333333334,0.6666666666666666
Д. Е. Намиот,2,0.0,0.0
Д. Е. Турчин,1,5.0,1.0
Д. И. Гончаров,2,2.5,0.0
Д. П. Кореньков,1,0.0,0.0
Д. Р. Касимов,1,0.0,0.0
Д. С. Хабарова,1,0.0,0.0
Д. Ю. Волканов,1,0.0,0.0
Даг Тарнбулл,1,5.0,1.0
Даниэль Зингаро,2,4.1,1.5
Дасти Филлипс,1,0.0,0.0
Дейв Тейлор,1,4.0,4.0
Делип Рао,1,4.5,2.0
Денис Владимирович Голиков,2,4.0,2.0
Денис Владимирович Соломатин,1,5.0,1.0
Денис Владимирович Шумейко,1,0.0,0.0
Денис Колисниченко,5,4.08,3.2
Дж. Блэйк Мик,1,0.0,0.0
Дж. Гай Дэвидсон,1,0.0,0.0
Дж. Ханк Рейнвотер,1,3.4,23.0
Джей Венгроу,1,5.0,0.0
Джей Джей Гивакс,1,3.8,4.0
Джейд Картер,24,4.970833333333333,9.916666666666666
Джейк Вандер Плас,1,4.1,6.0
Джейми Чан,1,4.5,3.0
Джеймс Девис,7,4.942857142857143,2.7142857142857144
Джеймс Рамбо,1,4.5,7.0
Джейсон Арбон,1,3.8,10.0
Джейсон Кларк,1,0.0,0.0
Джейсон Орендорф,1,4.1,3.0
Дженифер Тидвелл,1,5.0,1.0
Дженнифер Грин,1,4.0,3.0
Джереми Гибсон Бонд,1,4.3,4.0
Джереми Сик,1,0.0,0.0
Джесс Вейхлер,1,5.0,0.0
Джефф Каролло,1,3.8,10.0
Джефф Паттон,1,4.5,8.0
Джим Блэнди,1,4.1,3.0
Джозеф Хокинг,1,3.9,4.0
Джозеф Ю,1,3.5,2.0
Джон Бейктал,1,3.8,1.0
Джон Берримен,1,5.0,1.0
Джон Боднер,1,5.0,5.0
Джон Дакетт,3,4.233333333333333,7.0
Джон Скит,1,0.0,1.0
Джон Сонмез,4,4.7,1.5
Джон Хортон,1,5.0,0.0
